Name,Semester,Subject 1 Marks,Subject 2 Marks,Subject 3 Marks,Subject 4 Marks,Subject 5 Marks,Active Student,Date of Birth
John Doe,3,77,67,88,91,86,TRUE,25-07-1990
Sam Ray,3,66,88,76,89,91,TRUE,15-07-1991
Roshan M,3,54,99,80,76,81,TRUE,29-01-1990
Rohit Mehta,3,67,67,79,98,90,TRUE,25-07-1990
Andrew Dove,5,78,89,81,85,87,TRUE,05-11-1990
Gary Sam,3,89,56,79,82,85,TRUE,25-07-1991
Manohar Raj,3,92,89,90,91,96,TRUE,15-07-1990
Krish Kumar,5,78,87,95,86,91,FALSE,18-02-1990
Naren Singh,5,81,78,89,87,90,TRUE,23-12-1990
Jilshan Raj,5,65,79,93,86,89,FALSE,14-07-1991
